L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
33582,3644718,133,8563,36428612,3491507,6988,70173043,35879884,130,35867737,85139,62856,47,66684,62238,35866651,18373,7279,59460609
6944,3648837,110,1642,35255141,3423604,3041,70419420,36764507,111,36767519,59465,15696,98,61516,16120,36768254,2047,2790,60714366
5104,3632988,18,882,35106034,3422512,314,70176772,36758168,20,36763405,57858,8035,7,58236,8115,36763404,975,278,60694990
6301,3633017,2,932,35120085,3415698,409,70213717,35657153,2,36772051,188583,9135,3,58085,9074,36772053,82075,404,59202838
5342,3632860,0,1298,35163285,3425471,79,70357994,36754672,0,36744163,57884,7406,0,58556,7430,36744163,978,74,60691513
34474,3633901,0,10892,35096695,3425318,42,70180418,36757082,0,35673912,57753,7277,0,58021,7307,35673910,775,42,60696663
5372,3632957,0,1074,35093664,3423294,31,70173987,36698124,0,36753266,57258,7083,0,57772,7079,36753267,742,29,60606373
5125,3632482,0,860,35093884,3422049,119,70175179,36758327,0,36764616,57732,8071,0,57957,8042,36764616,1180,123,60694813
7380,3657390,0,1615,35094525,3421644,13325,70172461,36759084,0,36705091,58016,60789,0,73535,60761,36705092,982,13492,60695988
5175,3632826,2,921,35108029,3423062,1620,70171150,36740699,2,36762958,58165,8206,1,58721,8228,36762958,911,1465,60667425
5073,3633199,990,817,35093389,3422612,103,70171839,36758728,984,36763930,57559,7360,1001,58048,7391,36763929,813,93,60695841
5003,3631267,78,778,35092881,3422357,830,70171667,36757752,84,36762225,57718,11683,88,58943,11650,36762224,778,826,60694392
5314,3634953,13,1240,35092564,3425333,408,70170883,36758692,13,36746235,57690,8322,11,58346,8363,36746234,765,407,60698153
5025,3633838,55,871,35093167,3424450,33,70171836,36758677,55,36763985,57834,7368,50,57797,7355,36763987,935,31,60697777
5072,3632728,15,813,35093582,3422545,16,70172006,36736046,15,36763142,57375,7080,11,57852,7089,36763142,736,19,60665529
5013,3632755,0,744,35094232,3419627,17,70172992,36759439,0,36765282,58449,7122,1,57621,7091,36765282,1838,18,60696574
5832,3633908,0,892,35123744,3425122,11,70171232,36760310,0,36753332,57619,7252,0,57181,7266,36753332,979,8,60700475
6592,3632630,1,1102,35093188,3422768,14,70227279,36745020,1,36750515,57801,7034,1,58049,7048,36750515,776,13,60678523
5141,3633224,0,830,35093057,3424869,13,70175027,36756608,0,36760904,57713,7256,0,57586,7271,36760903,766,13,60693949
5025,3633471,0,762,35093022,3426407,259,70172073,36757673,0,36761565,57963,9895,0,58739,9825,36761566,815,260,60697066
6920,3633430,0,1746,35093189,3426087,19,70171862,36758292,0,36719288,57701,7492,0,57956,7550,36719288,769,19,60697240
5106,3633932,0,931,35092717,3422360,72,70171347,36758458,0,36762190,57722,7868,1,58451,7858,36762191,748,74,60695470
5810,3634328,0,959,35092852,3422478,121,70171884,36751585,0,36755088,57497,8236,1,58144,8232,36755087,747,120,60688834
5107,3631776,0,811,35093192,3422628,913,70172452,36749630,0,36763359,57481,15505,1,60154,15482,36763360,1236,950,60682843
5016,3633679,0,758,35093223,3424168,362,70211637,36764723,0,36764768,57880,7651,0,57634,7661,36764767,1032,330,60707157
4956,3633274,14,712,35093148,3424593,68,70172089,36760227,13,36763886,57334,7408,18,57809,7431,36763885,774,68,60699304
4976,3632687,5,777,35092885,3422401,37,70171094,36757045,6,36762350,57564,7187,1,57838,7191,36762351,778,33,60692760
5037,3633473,2,747,35093615,3424550,192,70171403,36757771,2,36763306,58732,8627,1,58183,8586,36763307,1364,193,60695892
5375,3633798,0,1254,35094128,3423627,18,70170817,36761267,0,36757143,57101,7671,0,57421,7668,36757142,845,15,60700814
5081,3635551,0,851,35092965,3425023,17,70172276,36741228,0,36767327,56463,7184,0,56699,7234,36767327,753,17,60676583
5130,3633687,0,759,35124100,3398713,12,70209519,36764390,0,36764237,72772,7265,0,57712,7251,36764238,10596,12,60712986
5647,3633007,0,876,35186156,3422390,30,70172157,36758338,0,36768075,58060,7228,0,57880,7225,36768075,1654,30,60696217
6707,3632658,0,1331,35102160,3424251,12,70170236,36758902,0,36744512,58447,7205,0,57521,7162,36744510,1077,12,60695704
5024,3634387,0,880,35094185,3422653,151,70211069,35699740,0,36765775,57578,8140,0,57757,8198,36765775,817,151,59272115
4970,3632932,0,758,35093216,3422551,10,70305469,36752883,0,36764070,57359,7224,0,57784,7239,36764072,784,9,60686032
34524,3633269,0,10702,35092827,3422298,306,70178721,36741757,0,35718389,57619,11265,0,58889,11203,35718385,752,310,60669950
6267,3632180,2,1715,35092977,3422389,131,70181569,36696444,2,36718466,57521,8772,0,58381,8784,36718469,741,129,60599077
5876,3632542,14,1095,35092784,3422259,12,70203153,36728147,12,36751076,57751,7367,13,58178,7408,36751076,735,11,60652270
5055,3662141,6,806,35092917,3423401,12530,70175823,36756000,8,36762431,58243,60525,3,73547,60501,36762430,921,12721,60693381
