L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
488942,4302478,148,45234,35075129,3218954,23935,70151571,17792641,145,17832990,593143,528733,78,493481,528149,17829405,50629,24311,48596180
479359,4378309,51,41987,35303719,3212937,5033,70575484,17699895,54,18076489,597684,462701,40,508213,463143,18079723,43027,4825,48278674
472942,4773958,1,39014,35169751,3219996,3204,70403561,18130607,1,18095921,595272,496423,2,555027,496408,18095922,39876,3187,49617049
481883,5151461,4,39790,35173552,3226435,3013,70353906,18128709,4,18047773,598331,543244,1,600235,543125,18047774,40939,3111,49666453
474400,5089431,3,38503,35163548,3181069,3784,70328151,18117659,3,18113717,591268,526755,4,593975,526860,18113715,38797,3678,49838874
474774,5109802,3,38486,35165513,3199434,2947,70286878,18070820,3,18085838,592817,529137,3,594574,529166,18085839,39198,2949,49518916
477027,5103762,2,38394,35157465,3190983,2885,70385620,18100686,2,18104579,594294,525737,3,593588,525740,18104579,39418,2894,49535785
471389,5129501,4,38157,35161495,3215681,3161,70352286,18180779,4,18099287,595889,535041,1,596878,535040,18099285,40235,3156,50153831
476047,5102548,2,38484,35207866,3206100,3085,70290645,18108533,2,18122456,596130,527732,2,593530,527736,18122459,39280,3089,49660773
478143,5125865,0,39081,35156518,3170265,3904,70306826,18097696,0,18127893,590288,538432,0,597804,538369,18127891,38195,3912,49547626
474920,5103292,4,38758,35176530,3192317,3301,70266664,18040805,4,18084902,592366,525960,3,593145,525991,18084903,39184,3304,49448286
478556,5121696,2,38745,35174281,3221900,3583,70354556,18096099,2,18129346,596856,532360,1,593770,531983,18129346,40315,3580,49653411
480541,5122786,0,39827,35168203,3169184,3033,70221461,18103114,0,18113366,592239,532437,1,596742,532812,18111405,37759,3027,49775418
468782,5133660,1,36955,35209043,3223963,2872,70374046,18121852,1,18123887,598196,536806,2,599912,536859,18125847,40611,2869,49605182
475091,5073489,4,38084,35203379,3210834,2842,70302747,18136035,4,18099874,596474,512575,2,587629,512577,18099873,41035,2830,49789681
475561,5127849,2,38441,35247612,3192412,3296,70295978,18082947,2,18114302,593864,536545,2,597560,536503,18114304,50351,3313,49475321
479540,4736599,7,39677,35198708,3214386,2971,70273391,18032278,7,18061984,598418,494983,2,551212,495016,18060020,41503,2959,49401186
489818,4396701,3,48412,35216449,3219660,2942,70368092,18129644,3,17696378,598006,463977,3,510901,463958,17698339,40877,2945,49578361
460413,4745991,4,36461,35210123,3210909,2799,70400282,18132217,4,18120670,595860,496382,2,553542,496392,18120672,39793,2796,49633154
668599,5087232,2,112042,35179054,3211356,3125,70311955,18102688,2,16586594,596280,523420,1,590811,523408,16584521,39760,3128,49574568
474011,4778551,0,39081,35161871,3211511,3333,70317423,18136732,0,18084515,597629,503377,1,555339,502976,18086588,41392,3346,49815725
473357,4404889,2,38313,35175643,3199700,4204,70333738,18124980,2,18114121,595504,476401,3,514253,476786,18114121,40859,4197,49656773
