L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
33531,1634283,139,8494,30082769,1223856,7548,70173207,19967970,137,19951196,94360,65422,42,101551,64852,19950079,8549,7831,59861028
6991,1556903,44,1743,30227075,1184267,2349,70421659,20243365,46,20292625,83128,14529,36,95390,14949,20293391,1692,2081,60718300
5332,1548664,3,1305,30092195,1181238,438,70199256,20264997,3,20263376,85233,8664,2,91918,8686,20263376,1519,424,60913396
4990,1546311,2,942,30089741,1180576,66,70174784,20280177,2,20282061,84059,7466,1,98758,7488,20282061,927,56,60967485
5019,1547130,9,799,30311491,1189910,367,70172382,20280627,8,20285329,81149,8678,1,98847,8634,20285330,771,370,60969140
5728,1546105,2,1073,35092927,1376886,38,70171155,20280615,3,20279418,89719,7732,2,98559,7759,20279418,812,39,60968771
5061,1547314,3,812,35092952,1375788,30,70170808,20278155,2,20281352,97957,7425,2,89970,7440,20281352,807,27,60962033
5104,1547433,1,815,35093380,1376428,34,70171836,20277060,2,20285231,98476,7541,1,89974,7516,20285231,1363,32,60955714
6198,1547484,3,1539,35093856,1376970,31,70172790,20280251,3,20277406,90017,7598,2,90016,7600,20277405,911,36,60967722
5035,1546553,3,865,35093041,1377273,41,70182603,20255939,3,20284896,90029,7393,1,94534,7394,20284897,990,39,60858125
5632,1548274,3,955,35093100,1376884,1066,70203696,20265970,3,20289675,89746,10298,2,93084,10313,20289675,823,1202,60914828
4992,1547552,2,860,35092861,1376170,1268,70208324,20279034,2,20285271,93927,7653,2,90149,7657,20285271,799,1145,60955280
4976,1547540,2,848,35092971,1377846,466,70172708,20274818,2,20283099,89808,8211,1,98911,8215,20283100,1346,453,60949513
5253,1546633,3,1314,35093550,1376975,66,70172003,20279950,3,20282781,89764,7481,0,94423,7479,20282780,896,66,60968675
5014,1547492,2,920,35092881,1376715,63,70171521,20280447,2,20285184,89716,7524,2,90004,7529,20285184,883,63,60968373
4977,1549432,3,866,35092744,1375652,323,70171283,20275246,3,20279403,98352,10289,2,90359,10254,20279402,844,325,60948080
5684,1547344,2,920,35112329,1376896,39,70171040,20265653,2,20285830,95637,7502,2,90026,7507,20285829,873,34,60915509
4959,1547348,3,830,35093622,1377830,29,70171018,20263626,2,20284117,89841,7420,2,90283,7431,20284118,1248,31,60905222
5234,1545947,1,1311,35093607,1377590,28,70172297,20265100,2,20278251,90190,7442,1,98651,7432,20278251,1103,29,60912775
5040,1545883,2,938,35093677,1375607,26,70171889,20280088,2,20285132,98503,7418,2,98566,7458,20285133,826,25,60967149
4927,1548175,2,813,35093054,1375706,89,70208814,20279368,2,20284803,98366,9041,0,94314,8999,20284802,841,89,60969037
4979,1547559,3,870,30344476,1191279,42,70278619,20271669,3,20285221,79899,7792,1,90067,7801,20285221,748,41,60938737
5836,1547350,3,1010,30088251,1181559,25,70179291,20262964,3,20279725,77619,7413,1,89952,7426,20279725,786,25,60908669
5253,1548606,3,1297,34634724,1360397,145,70174112,20279718,3,20281665,88897,8268,2,90131,8256,20281666,1467,145,60968168
5833,1547483,0,1107,35094473,1375613,14,70171500,20280564,0,20283466,98481,7435,2,89962,7442,20283466,879,13,60968733
5007,1548957,3,874,30611254,1201795,59,70170845,20280418,3,20285220,80477,8958,0,90007,8937,20285220,815,59,60968028
5867,1547278,3,1037,30087856,1181565,25,70171420,20280125,3,20280487,77205,7531,1,89959,7553,20280487,755,26,60969301
4973,1547390,4,829,34383941,1347233,16,70171089,20279581,4,20285734,94207,7289,1,89952,7313,20285733,786,16,60963428
5166,1546027,3,1304,35147714,1377544,23,70171965,20280326,3,20282935,89950,7428,3,98586,7431,20282935,1348,22,60968161
5038,1547977,2,915,35096102,1376949,67,70171057,20276645,2,20285377,89781,8706,1,91661,8690,20285378,885,68,60952401
5000,1548823,2,838,35093026,1376939,36,70170187,20277904,2,20282487,89669,8886,2,90615,8824,20282487,809,37,60962827
4940,1548358,2,824,35120023,1377675,204,70225103,20284808,2,20285365,89898,9311,1,90513,9357,20285364,876,208,60975547
4945,1547496,4,830,35093353,1376969,43,70170990,20266611,3,20285248,89709,7612,4,90096,7634,20285249,768,37,60917288
5175,1546097,2,1253,35092870,1376429,20,70170558,20278526,3,20283812,98400,7325,1,97280,7331,20283812,1324,21,60962179
4966,1548581,3,920,35093337,1375551,157,70171143,20280784,3,20277249,98382,8311,1,90195,8298,20277249,901,157,60969447
11011,221120,22,2549,35093221,1376927,3744,7863785,2136308,21,1976363,89659,22673,35,15816,22624,1976360,852,3828,6335552
