L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
1307806,10828551,151,128288,35029816,5706400,10267,50075897,13976276,149,19410676,594050,1307591,85,592810,1306963,19409556,129571,10637,34209641
1307923,10871595,53,126040,35296441,5800407,5356,69610529,20082382,53,19518886,603742,1282611,44,596395,1283072,19519656,130616,5147,49456190
1322215,10809142,5,128043,21511407,3596339,3620,68073373,19584530,6,19546445,371771,1277744,4,594080,1277768,19546443,77577,3623,48233166
546935,5408015,0,54379,30908142,5111780,4141,39599655,11305977,1,8207857,531733,636374,1,298894,636336,8207859,109884,4147,27761878
1011232,9657282,0,97161,32768621,5512262,5535,52963927,15231821,0,15190114,558325,1157444,0,532464,1157451,15190113,114698,5531,37471033
167823,8489926,0,19255,26412254,4375138,6901,37113223,10524811,0,2624673,455168,1019157,0,471338,1019181,2624673,93788,6907,25868856
1076424,5873974,1050,103962,20736880,3441589,4668,69105152,19915228,1045,16018388,357346,703644,1059,327570,703650,16018387,75526,4693,48998253
187123,5606962,55,20306,22320085,3708867,5654,43374110,12361276,58,2885099,383572,664779,63,317573,664733,2885099,78763,5618,30362996
1001647,9216056,7,93542,16079215,2673011,17639,50754882,14576700,9,14919808,278769,1111753,10,518305,1111744,14919809,54899,17636,35851472
1065829,250098,68,107020,8066469,1298688,2429,2491253,581723,68,15932938,140981,35547,61,22584,35618,15932939,29159,2458,1284391
797958,1831103,16,76658,35069662,5831525,3449,69619411,19989464,16,12004710,604359,219714,11,110745,219658,12004709,122048,3429,49175630
1301089,10884110,0,132336,34981699,5626441,5192,71420842,20150144,0,19173331,593310,1266407,3,597356,1266402,19173331,130010,5187,49671558
215457,10892809,1,24345,34975462,5797573,3803,69621823,20052267,1,3438602,594871,1274858,4,600427,1274833,3438600,126198,3815,49361446
180281,3460840,0,19356,34879365,5791089,4138,69397657,20016244,0,2908109,593479,416012,1,196908,416063,2908111,129199,4172,49271941
1045828,6408541,0,108017,23747449,3906138,4581,64712890,18571354,0,15039103,406099,766862,1,358645,766843,15039104,88752,4538,45717408
1310115,9171785,0,132733,28499154,4695723,4671,61065507,17576340,0,19623050,491501,1078296,1,504046,1078313,19623048,106996,4671,43258251
1311373,10812731,2,130596,5856143,979563,4539,31796577,8973684,2,19709344,100654,1280045,4,594386,1280007,19706292,21358,4549,21978656
1299360,8793309,0,138160,19723855,3246557,5297,52435442,15087503,0,19413237,336781,1030399,0,485014,1030437,19416290,72963,5311,37163544
1293504,2377180,0,137038,34723950,5759904,4022,58347661,16798533,0,19424773,591602,286915,0,138306,286906,19424773,128810,3987,41341741
590670,10899651,0,61400,34725063,5768042,3440,2260130,498707,0,9075550,594634,1272950,0,591412,1272952,9075551,128562,3450,1089215
244492,10906201,0,26525,34689724,5741311,3025,38668167,10907879,0,3829328,597041,1280793,0,593053,1280765,3829328,128900,3038,26723773
1310697,10601488,26,139902,13473942,2205449,4655,69331303,19956443,26,19260569,233098,1234094,33,583528,1234122,19260568,49709,4643,49119776
1304064,9890621,7,133204,34616115,5731313,5652,63250308,18299533,7,19495906,591177,1164191,6,541784,1164182,19495905,128462,5654,45077897
1292732,5812566,1,135289,34572620,5724151,3843,54946725,15698904,1,19413741,589695,663346,0,317059,663369,19413741,130853,3887,38575037
731218,4636429,1,77185,34884898,5790446,5750,29420554,8412918,1,10982196,602252,552566,2,261935,552127,10982195,124060,5727,20656714
1221204,7662380,1,122416,25019561,4113852,4141,10202189,2726639,1,18206459,427888,903661,2,423537,904105,18206461,92945,4158,6576891
756044,10064418,0,84588,14019786,2336495,6680,66791478,18958649,0,11322283,238224,1198409,1,557718,1198387,11322284,54184,6648,46529638
928267,2981210,0,98808,21989593,3622463,4369,69611161,20074564,0,13846362,376882,352936,0,168931,352953,13843328,81611,4407,49436335
1103902,7916736,0,114511,22932084,3841260,4558,69353208,20030435,0,16314141,392765,939687,0,437113,939662,16317173,82198,4505,49333763
575969,6914548,0,63348,2381021,346092,4772,43004178,12361377,0,8645416,38631,820974,0,385717,820994,8645417,8938,4827,30436995
