L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
1329122,8332371,164,122952,35061030,5600239,13396,46183047,12603656,162,19010805,608607,1164837,83,471815,1164241,19009723,113647,13758,31479552
1202662,8456274,57,110523,35214175,5764400,7658,36081870,9853748,58,17418378,594308,1138322,50,471353,1138728,17419111,102967,7460,24452349
1336498,10784417,79,125102,35088976,5798647,3605,959942,191578,79,19378398,593561,1440108,73,595965,1440130,19378396,102352,3596,434934
495306,5687184,15,45906,35036476,5703287,18474,306592,52307,16,7390774,584411,796004,14,330933,796018,7390776,108229,18489,128726
29060,9189471,6,4101,35063486,5840930,5297,7012763,1869471,6,655499,590586,1232240,5,510331,1232254,655499,104744,5290,4642972
887754,6713515,4,81130,32697222,5423939,4385,42625533,11749530,4,12946044,549516,896462,2,373002,896456,12946043,99603,4439,29247531
1097286,9488417,4,98951,33915848,5649344,5046,30209857,8478880,4,16003421,571730,1259466,2,530398,1259453,16003421,106105,5002,21223204
1342136,9932652,4,120788,22810625,3725981,4825,3727109,1023910,4,19358457,383869,1328415,1,553423,1328400,19358457,71215,4820,2560747
1240569,10042289,2,109228,23049276,3849806,5319,26872389,7330828,2,18015545,386272,1331396,0,555407,1331408,18015546,70356,5313,18242030
1333120,1672751,2,117014,19167198,3200855,3431,35989294,9912951,2,19481563,321348,217286,0,99129,217286,19481561,57565,3472,24740108
1340643,9975104,3,119887,2626405,454875,4830,889475,168214,3,19335632,43810,1327573,0,552742,1327564,19335633,7798,4787,367554
491661,10796140,1090,44378,959684,181572,3370,47199313,12928661,1084,7227208,16494,1436901,1012,596387,1436940,7227209,4582,3367,32191197
1343521,8521729,36,121440,12501179,2069918,6229,12953541,3593500,42,19412304,213745,1149901,52,481910,1149855,19412301,38385,6251,9005560
1336332,9595397,8,126781,135349,9350,4149,203152,30714,8,19272714,2387,1285239,13,541825,1285239,19272717,745,4146,65796
946150,2942908,71,87519,16871692,2796245,5060,22665174,6240493,70,13764276,287408,400199,58,173172,400192,13764276,52849,5046,15568157
1336810,10757901,9,117007,21363778,3545132,3260,29403014,8017051,10,19424769,362510,1424735,23,602848,1424748,19424769,61272,3265,19977860
404542,3051700,6,38697,127267,8553,3456,355052,63603,6,6100109,2158,388335,5,171497,388346,6100109,681,3454,160438
1336810,10566371,5,121881,9780903,1664513,4507,339384,56445,5,19477948,166591,1406755,2,595152,1406776,19477947,30282,4508,127355
726291,10733282,3,64791,354421,39407,3111,37767332,10375606,3,10669505,6389,1441253,1,598160,1441235,10669506,1350,3127,25860214
1105568,7942699,2,96895,2267641,396233,4826,1406284,324184,2,16036580,40107,1056188,2,446983,1056201,16036578,6620,4814,764133
1228171,10074983,5,115371,20485292,3412415,4468,3255569,415597,5,17902411,344022,1353071,2,566700,1353032,17902411,62871,4470,1057655
687308,3463992,3,66366,674296,146412,3315,16593013,4497147,3,10054489,11047,460798,0,197615,460848,10054489,2013,3389,11198344
