L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
33264,4082988,138,8126,35090587,3194479,6729,70171144,30843391,135,30909420,89639,61759,52,82186,61183,30908300,8689,7008,52694804
7093,4126395,50,1650,35245248,3233512,2783,70417073,30451647,53,30503438,274842,14584,37,284014,14969,30504207,1676,2543,52260386
5373,4172877,5,1329,35098677,3182770,294,70236302,30740743,5,30734711,229575,7505,3,214191,7553,30734711,767,259,52646521
5130,4183439,2,884,35094947,3196944,191,70174405,30831115,2,30794750,179201,8448,1,187442,8459,30794749,715,186,52793297
5113,4174271,5,728,35094060,3191444,678,70172821,30740653,5,30732528,218491,9647,2,220190,9630,30732530,1137,674,52641243
5665,4170771,5,830,35094023,3193557,37,70172412,30999822,5,30953914,174127,7360,2,198676,7390,30953913,843,35,53069847
5102,4171207,4,691,35092995,3186656,27,70202021,30791309,4,30791077,217303,7065,2,210345,7064,30791078,704,26,52726933
5434,4172790,3,1176,35093236,3186270,15,70275882,30896159,3,30837941,198711,7062,2,186904,7055,30837940,689,16,52897743
5025,4165589,3,819,35093074,3194736,22,70175846,30797767,3,30783058,209625,7077,2,217875,7081,30783059,685,21,52721171
5017,4164045,3,710,35093277,3193225,381,70172358,30650229,3,30657375,223346,8527,2,244856,8473,30657375,644,539,52509201
5021,4159917,2,729,35101883,3186291,1489,70173110,30712375,2,30723106,225017,7537,1,233038,7593,30723106,2145,1367,52588008
5020,4168984,3,719,35121107,3192491,230,70171798,30726741,3,30696293,218302,7224,1,220098,7257,30696293,921,203,52617415
9037,4167042,10,1602,35110286,3185115,2144,70177212,30526286,10,30614635,244786,18535,24,246524,18513,30614635,1740,2154,52334294
8379,47914,8,2447,297308,34490,1937,523825,92586,8,131738,3832,11552,19,4135,11480,131738,1820,1949,206230
