L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
33721,1483735,134,8420,30084482,1274986,8258,67658553,19132558,130,16995431,89141,65942,51,88054,65384,16994349,9105,8563,57669459
6996,1402405,52,1765,30226367,1234960,2061,70415539,20176469,56,17303731,79446,12140,35,79463,12525,17304463,1820,1775,61117924
5008,1397789,4,946,30094075,1231882,192,62768769,18037289,4,17295081,78194,8316,1,78676,8360,17295081,900,166,54637692
4910,1396951,3,901,30088911,1231830,83,60162118,17290871,3,17295420,77991,7259,0,78294,7280,17295421,838,80,52377004
5899,1397778,2,1466,30088867,1232138,389,60160948,17284087,2,17284870,78012,8799,1,78307,8783,17284868,1387,389,52355498
4956,1396896,1,1009,30088529,1231572,47,60187038,17282219,1,17295593,77996,7390,1,78215,7398,17295594,950,45,52350276
5567,1396770,3,1057,30088426,1232818,41,60306522,17294074,3,17291405,77961,7175,0,78176,7169,17291404,945,42,52380318
4937,1456641,2,879,30088430,1231737,234,60164345,17291032,2,17295736,77882,8458,1,81708,8457,17295737,878,235,52376936
4899,1626268,1,843,30087714,1232076,44,60160327,17290195,1,17295688,78374,7235,0,90868,7228,17295688,1099,45,52374856
4828,1402039,26,821,30088384,1231484,3224,51405444,14657535,26,17295767,77933,24587,37,80576,24537,17295767,897,3263,44333147
